,latitude,longitude,job_level,age,tenure_years,position_tenure,time_since_joining_team,promotion_delay_months,internal_job_applications,manager_relationship,engagement,work_life_balance,peer_recognition_count,awards_received,workload,overtime_hours,average_weekly_hours,client_escalation_count,salary_percentile,compensation_gap,distance_to_office_km,work_flexibility_score,remote_work_eligibility,skill_criticality_score,knowledge_risk_score,dependencies,client_criticality,specialised_skills,critical_project_owner,replacement_time_months,performance_rating,attrition_label,impact_label,attrition_risk_score,impact_score,Keepz
latitude,1.0,-0.11,-0.1,-0.06,0.15,0.12,-0.01,0.13,-0.01,0.04,0.05,-0.09,0.06,0.07,0.1,0.05,0.05,-0.04,-0.03,-0.0,0.1,-0.12,0.12,0.13,-0.09,-0.08,-0.09,0.17,-0.14,0.0,0.01,0.21,0.02,0.16,-0.01,0.06
longitude,-0.11,1.0,-0.2,0.04,0.0,-0.2,0.06,-0.15,-0.21,-0.03,-0.01,-0.09,0.1,0.02,0.21,0.1,0.1,0.22,0.01,0.16,-0.06,0.1,-0.07,0.22,-0.2,-0.22,-0.11,0.18,0.0,-0.05,-0.06,0.01,-0.16,0.0,-0.15,-0.01
job_level,-0.1,-0.2,1.0,0.21,-0.07,0.04,-0.02,0.15,0.05,0.03,0.0,0.11,0.02,-0.06,-0.16,-0.12,-0.12,-0.2,-0.13,-0.12,0.18,-0.19,-0.1,-0.07,0.89,0.92,0.88,0.04,0.29,0.69,-0.11,0.01,0.79,0.06,0.88,0.15
age,-0.06,0.04,0.21,1.0,0.1,0.07,-0.02,0.18,0.3,-0.1,-0.15,-0.13,-0.23,0.2,0.08,0.1,0.1,0.02,-0.25,-0.26,0.1,-0.1,-0.1,-0.07,0.25,0.22,0.27,-0.04,0.29,0.09,-0.12,0.17,0.18,0.21,0.23,0.12
tenure_years,0.15,0.0,-0.07,0.1,1.0,0.66,0.53,0.64,0.21,0.28,0.29,0.01,-0.01,0.17,0.08,-0.02,-0.02,0.06,-0.24,-0.18,0.06,-0.18,-0.17,-0.12,-0.07,-0.08,0.07,-0.13,0.02,-0.1,-0.01,-0.02,0.0,0.0,-0.02,-0.14
position_tenure,0.12,-0.2,0.04,0.07,0.66,1.0,0.38,0.93,0.39,0.12,0.22,0.18,0.14,0.04,-0.17,-0.22,-0.22,-0.14,-0.16,-0.1,-0.0,-0.2,-0.02,-0.29,0.09,0.06,0.16,-0.29,0.07,-0.04,-0.12,0.04,0.04,0.02,0.03,-0.09
time_since_joining_team,-0.01,0.06,-0.02,-0.02,0.53,0.38,1.0,0.38,0.15,0.19,0.23,0.12,0.1,-0.02,-0.1,-0.1,-0.1,-0.09,-0.22,-0.11,0.12,0.09,-0.3,-0.25,0.03,-0.03,0.05,-0.31,-0.04,-0.22,0.02,-0.02,-0.1,-0.13,-0.1,-0.16
promotion_delay_months,0.13,-0.15,0.15,0.18,0.64,0.93,0.38,1.0,0.4,0.11,0.2,0.15,0.1,0.05,-0.17,-0.21,-0.21,-0.13,-0.21,-0.15,0.0,-0.25,-0.11,-0.25,0.15,0.13,0.24,-0.25,0.06,0.0,-0.11,0.07,0.11,0.04,0.12,-0.09
internal_job_applications,-0.01,-0.21,0.05,0.3,0.21,0.39,0.15,0.4,1.0,0.1,0.13,0.09,0.03,0.01,-0.14,-0.13,-0.13,-0.16,-0.28,-0.24,-0.07,-0.08,-0.1,-0.2,0.15,0.05,0.07,-0.23,-0.1,0.01,-0.03,-0.01,0.02,-0.04,0.01,0.09
manager_relationship,0.04,-0.03,0.03,-0.1,0.28,0.12,0.19,0.11,0.1,1.0,0.82,-0.03,0.17,-0.04,0.02,0.06,0.06,0.02,-0.12,-0.18,0.04,0.09,-0.0,-0.02,0.03,0.08,-0.0,-0.04,-0.11,0.01,0.13,-0.24,0.01,-0.26,0.01,-0.1
