model,feature,importance
attrition_probability,tenure_years,0.0182
attrition_probability,position_tenure_years,0.0322
attrition_probability,promotion_wait_months,0.0587
attrition_probability,internal_applications_12m,0.0902
attrition_probability,manager_rating,0.0565
attrition_probability,engagement_score,0.0694
attrition_probability,work_life_balance,0.241
attrition_probability,workload_score,0.1317
attrition_probability,overtime_hours_month,0.2807
attrition_probability,absence_days_12m,0.0168
attrition_probability,flexible_work_score,0.0048
criticality_probability,job_level,0.3318
criticality_probability,tenure_years,0.0504
criticality_probability,performance_rating,0.0697
criticality_probability,client_facing,0.0165
criticality_probability,direct_reports,0.2413
criticality_probability,active_projects,0.0703
criticality_probability,succession_ready,0.007
criticality_probability,replacement_time_months,0.213
